character,pinyin,translation,category,level
爱,ài,to love,Verb,1
八,bā,eight,Number,1
爸爸,bàba,dad,Noun,1
吧,ba,"particle indicating suggestion, confirmation, or hesitation",Auxiliary,1
白天,báitiān,daytime,Noun,1
百,bǎi,hundred,Number,1
半,bàn,half,Adverb/Number,1
包子,bāozi,steamed stuffed bun,Noun,1
杯子,bēizi,"cup, glass",Noun,1
本,běn,measure word for books,Classifier,1
边,biān,side,Noun/Suffix,1
病,bìng,"illness, disease",Noun/Verb,1
不,bù,"not, no",Adverb,1
不客气,bú kèqi,you're welcome,Phrase,1
不要,búyào,"don't, not want",Adverb,1
菜,cài,"vegetable, dish",Noun,1
茶,chá,tea,Noun,1
唱,chàng,to sing,Verb,1
超市,chāoshì,supermarket,Noun,1
车,chē,"vehicle, car",Noun,1
吃,chī,to eat,Verb,1
出租车,chūzūchē,taxi,Noun,1
穿,chuān,to wear,Verb,1
打电话,dǎ diànhuà,to make a phone call,Verb,1
大,dà,big,Adjective,1
大家,dàjiā,everyone,Pronoun,1
大学,dàxué,university,Noun,1
大学生,dàxuéshēng,university student,Noun,1
到,dào,to arrive,Verb,1
的,de,possessive or modifying particle,Auxiliary,1
第,dì,prefix for ordinal numbers,Prefix,1
弟弟,dìdi,younger brother,Noun,1
点,diǎn,"(point, dot)",Noun/Classifier,1
店,diàn,"shop, store",Noun,1
电话,diànhuà,"telephone, phone call",Noun,1
电脑,diànnǎo,computer,Noun,1
电视,diànshì,television,Noun,1
电影,diànyǐng,"movie, film",Noun,1
电影院,diànyǐngyuàn,cinema,Noun,1
东西,dōngxi,"thing, object",Noun,1
都,dōu,"all, both",Adverb,1
读,dú,to read,Verb,1
读书,dúshū,to read a book,Verb,1
对,duì,"correct, right",Verb/Adjective/Classifier/Preposition,1
对不起,duìbuqǐ,sorry,Verb,1
多,duō,"many, much",Verb/Adjective/Adverb/Pronoun/Number,1
多少,duōshǎo,"how many, how much",Pronoun,1
儿子,érzi,son,Noun,1
二,èr,two,Number,1
饭,fàn,"cooked rice, meal",Noun,1
饭店,fàndiàn,restaurant,Noun,1
房间,fángjiān,room,Noun,1
非常,fēicháng,"very, extremely",Adverb,1
飞机,fēijī,airplane,Noun,1
分,fēn,minute,Noun/Verb/Classifier,1
分钟,fēnzhōng,minute,Classifier,1
高兴,gāoxìng,"happy, glad",Adjective,1
歌,gē,song,Noun,1
哥哥,gēge,older brother,Noun,1
个,gè,measure word for general objects,Classifier,1
给,gěi,to give,Verb/Preposition,1
公司,gōngsī,company,Noun,1
工作,gōngzuò,work,Noun/Verb,1
狗,gǒu,dog,Noun,1
贵,guì,expensive,Adjective,1
国,guó,country,Noun,1
还,hái,"still, also",Adverb,1
孩子,háizi,child,Noun,1
汉语,Hànyǔ,Chinese language,Noun,1
汉字,Hànzì,Chinese character,Noun,1
好,hǎo,good,Verb/Adjective/Adverb,1
好吃,hǎochī,"delicious, tasty",Adjective,1
好看,hǎokàn,good-looking,Adjective,1
好听,hǎotīng,pleasant to listen to,Adjective,1
好玩儿,hǎowánr,"fun, amusing",Adjective,1
号,hào,number,Noun/Classifier,1
喝,hē,to drink,Verb,1
和,hé,"and, with",Conjunction/Preposition,1
很,hěn,very,Adverb,1
后,hòu,"behind, later",Noun,1
回,huí,to return,Verb/Classifier,1
会,huì,"can, to be able to",Verb,1
火车,huǒchē,train,Noun,1
鸡蛋,jīdàn,egg,Noun,1
几,jǐ,"how many, a few",Pronoun/Number,1
家,jiā,"home, family",Noun/Classifier/Suffix,1
家人,jiārén,family member,Noun,1
见,jiàn,to see,Verb,1
件,jiàn,measure word for items,Classifier,1
饺子,jiǎozi,dumpling,Noun,1
叫,jiào,"to be called, to call",Verb/Preposition,1
姐姐,jiějie,older sister,Noun,1
今年,jīnnián,this year,Noun,1
今天,jīntiān,today,Noun,1
九,jiǔ,nine,Number,1
觉得,juéde,"to feel, to think",Verb,1
开,kāi,to open,Verb,1
开车,kāichē,to drive,Verb,1
看,kàn,"to see, to look",Verb,1
看病,kànbìng,to see a doctor,Verb,1
看见,kànjiàn,to see,Verb,1
可以,kěyǐ,"can, may",Verb/Adjective,1
课,kè,"class, lesson",Noun,1
口,kǒu,mouth,Noun/Classifier,1
块,kuài,"measure word for pieces, chunks, money",Classifier,1
来,lái,to come,Verb,1
老师,lǎoshī,teacher,Noun,1
了,le,particle indicating completed action or change of state,Auxiliary,1
冷,lěng,cold,Adjective,1
里,lǐ,"inside, in, mile",Noun,1
两,liǎng,two,Number,1
零,líng,zero,Number,1
六,liù,six,Number,1
妈妈,māma,mom,Noun,1
吗,ma,question particle,Auxiliary,1
买,mǎi,to buy,Verb,1
卖,mài,to sell,Verb,1
忙,máng,busy,Verb/Adjective,1
猫,māo,cat,Noun,1
没关系,méi guānxi,"never mind, it's okay",Phrase,1
没事,méi shì,"to have nothing to do, it doesn't matter",Verb,1
没有,méiyǒu,to not have,Verb/Adverb,1
妹妹,mèimei,younger sister,Noun,1
们,men,plural suffix for pronouns and nouns,Suffix,1
米饭,mǐfàn,cooked rice,Noun,1
面包,miànbāo,bread,Noun,1
面条儿,miàntiáor,noodles,Noun,1
明年,míngnián,next year,Noun,1
明天,míngtiān,tomorrow,Noun,1
名字,míngzi,name,Noun,1
哪,nǎ,which,Pronoun,1
哪个,nǎge,which one,Pronoun,1
哪里,nǎli,where,Pronoun,1
哪儿,nǎr,where,Pronoun,1
哪些,nǎxiē,which ones,Pronoun,1
那,nà,that,Pronoun/Conjunction,1
那边,nàbian,over there,Pronoun,1
那个,nàge,that one,Pronoun,1
那里,nàli,there,Pronoun,1
那儿,nàr,there,Pronoun,1
那些,nàxiē,those,Pronoun,1
男,nán,male,Adjective,1
男朋友,nánpéngyou,boyfriend,Noun,1
呢,ne,question or continuation particle,Auxiliary,1
能,néng,"can, be able to",Verb,1
你,nǐ,you,Pronoun,1
你好,nǐ hǎo,hello,Phrase,1
你们,nǐmen,you (plural),Pronoun,1
年,nián,year,Noun/Classifier,1
您,nín,you (formal),Pronoun,1
牛奶,niúnǎi,milk,Noun,1
女,nǚ,female,Adjective,1
女儿,nǚ'ér,daughter,Noun,1
女朋友,nǚpéngyou,girlfriend,Noun,1
女士,nǚshì,"lady, Ms.",Noun,1
朋友,péngyou,friend,Noun,1
便宜,piányi,cheap,Adjective,1
漂亮,piàoliang,beautiful,Adjective,1
苹果,píngguǒ,apple,Noun,1
七,qī,seven,Number,1
起床,qǐchuáng,to get up,Verb,1
千,qiān,thousand,Number,1
前,qián,"front, before",Noun,1
钱,qián,money,Noun,1
请,qǐng,please,Verb,1
请问,qǐngwèn,may I ask,Verb,1
去,qù,to go,Verb,1
去年,qùnián,last year,Noun,1
热,rè,hot,Adjective,1
人,rén,person,Noun,1
认识,rènshi,"to know, to recognize",Verb,1
日,rì,(sun),Noun/Classifier,1
三,sān,three,Number,1
商店,shāngdiàn,"store, shop",Noun,1
上,shàng,"up, above",Noun/Verb,1
上班,shàngbān,to go to work,Verb,1
上课,shàngkè,to attend class,Verb,1
上午,shàngwǔ,morning,Noun,1
上学,shàngxué,to go to school,Verb,1
少,shǎo,"few, little",Verb/Adjective,1
谁,shéi/shuí,who,Pronoun,1
什么,shénme,what,Pronoun,1
生病,shēngbìng,to get sick,Verb,1
十,shí,ten,Number,1
时候,shíhou,"moment, time",Noun,1
时间,shíjiān,time,Noun,1
事,shì,"matter, thing",Noun,1
是,shì,to be,Verb,1
手机,shǒujī,cell phone,Noun,1
书,shū,book,Noun,1
书店,shūdiàn,bookstore,Noun,1
水,shuǐ,water,Noun,1
水果,shuǐguǒ,fruit,Noun,1
睡,shuì,to sleep,Verb,1
睡觉,shuìjiào,to sleep,Verb,1
说,shuō,"to speak, to say",Verb,1
说话,shuōhuà,to talk,Verb,1
四,sì,four,Number,1
岁,suì,measure word for age,Classifier,1
他,tā,"he, him",Pronoun,1
它,tā,it,Pronoun,1
她,tā,she,Pronoun,1
他们,tāmen,they,Pronoun,1
它们,tāmen,they,Pronoun,1
她们,tāmen,they,Pronoun,1
太,tài,"too, extremely",Adverb,1
天,tiān,day,Noun/Classifier,1
天气,tiānqì,weather,Noun,1
听,tīng,to listen,Verb,1
听见,tīngjiàn,to hear,Verb,1
同学,tóngxué,classmate,Noun,1
外,wài,"outside, exterior",Noun,1
外边,wàibian,outside,Noun,1
玩,wán,to play,Verb,1
晚,wǎn,late,Adjective,1
晚饭,wǎnfàn,dinner,Noun,1
晚上,wǎnshang,evening,Noun,1
喂,wèi,hello (used when answering the phone),Interjection,1
问,wèn,to ask,Verb,1
问题,wèntí,question,Noun,1
我,wǒ,I,Pronoun,1
我们,wǒmen,we,Pronoun,1
五,wǔ,five,Number,1
午饭,wǔfàn,lunch,Noun,1
喜欢,xǐhuan,to like,Verb,1
下,xià,"down, below",Noun/Verb/Classifier,1
下雨,xià yǔ,to rain,Verb,1
下班,xiàbān,to get off work,Verb,1
下课,xiàkè,to finish class,Verb,1
下午,xiàwǔ,afternoon,Noun,1
先生,xiānsheng,"Mr., husband",Noun,1
现在,xiànzài,now,Noun,1
想,xiǎng,to think,Verb,1
小,xiǎo,small,Adjective/Prefix,1
小朋友,xiǎopéngyou,"little friend, child",Noun,1
小时,xiǎoshí,hour,Noun,1
小学,xiǎoxué,primary school,Noun,1
小学生,xiǎoxuéshēng,primary school student,Noun,1
些,xiē,measure word for an indefinite amount,Classifier,1
写,xiě,to write,Verb,1
谢谢,xièxie,to thank,Verb,1
新,xīn,new,Adjective,1
星期,xīngqī,week,Noun,1
星期日,xīngqīrì,Sunday,Noun,1
星期天,xīngqītiān,Sunday,Noun,1
休息,xiūxi,to rest,Verb,1
学,xué,"to learn, to study",Verb,1
学生,xuéshēng,student,Noun,1
学习,xuéxí,to study,Verb,1
学校,xuéxiào,school,Noun,1
雪,xuě,snow,Noun,1
要,yào,"to want, to need",Verb,1
也,yě,"also, too",Adverb,1
一,yī,one,Number,1
衣服,yīfu,clothes,Noun,1
医生,yīshēng,doctor,Noun,1
医院,yīyuàn,hospital,Noun,1
一半,yí bàn,half,Number,1
一下,yíxià,"once, a little",Adverb/Classifier/Number,1
椅子,yǐzi,chair,Noun,1
一点儿,yìdiǎnr,"a little, a bit",Classifier/Number,1
一些,yìxiē,"some, a few",Classifier/Number,1
有,yǒu,"to have, to exist",Verb,1
有的,yǒude,some of them,Pronoun,1
有点儿,yǒudiǎnr,"a little, slightly",Adverb,1
有些,yǒuxiē,"some, some of",Adverb/Pronoun,1
雨,yǔ,rain,Noun,1
元,yuán,yuan (currency),Classifier,1
月,yuè,month,Noun,1
再,zài,"again, then",Adverb,1
在,zài,to be at,Verb/Adverb/Preposition,1
再见,zàijiàn,goodbye,Verb,1
早,zǎo,early,Adjective,1
早饭,zǎofàn,breakfast,Noun,1
早上,zǎoshang,morning,Noun,1
怎么,zěnme,how,Pronoun,1
怎么样,zěnmeyàng,"how about, what do you think",Pronoun,1
找,zhǎo,to look for,Verb,1
这,zhè,this,Pronoun,1
这边,zhèbiān,here,Pronoun,1
这个,zhège,this one,Pronoun,1
这里,zhèlǐ,here,Pronoun,1
这儿,zhèr,here,Pronoun,1
这些,zhèxiē,these,Pronoun,1
真,zhēn,really,Adjective/Adverb,1
正在,zhèngzài,in the process of,Adverb,1
只,zhǐ,"measure word for animals, one of a pair",Classifier,1
知道,zhīdào,to know,Verb,1
中国,Zhōngguó,China,Noun,1
中文,Zhōngwén,Chinese language,Noun,1
中午,zhōngwǔ,noon,Noun,1
中学,zhōngxué,middle school,Noun,1
